arrival_orders,box_numbers,horse_numbers,horse_names,horse_ids,horse_sexes,horse_ages,jockey_weights,jockey_names,goal_times,goal_margins,order_transitions,half_times,odds,popularities,horse_weights,horse_weight_diffs,trainer_names,horse_owners,earn_prizes,name,race_number,course_type,course_direction,course_length,weather,course_condition,race_start_time,held_date,held_place,held_number,held_date_number,explanation
8,4,6,バジガクシェリール,2018100787,牝,3,54,小林拓未,1:17.8,1/2,12-10,40.0,108.0,12,357,0,[地]久保田信,（株）馬事学院,,3歳　選抜牝馬,2,ダ,右,1200,曇,良,11:10,2021年1月18日,大井,16,1,68万円未満(別定)
9,8,14,ラバテラクロス,2018101229,牝,3,54,本村直樹,1:18.1,1.1/2,4-8,41.1,16.2,7,448,-12,[地]高岩孝敏,本田廣一,,3歳　選抜牝馬,2,ダ,右,1200,曇,良,11:10,2021年1月18日,大井,16,1,68万円未満(別定)
10,3,3,ハッピーヘイロー,2018104493,牝,3,54,小杉亮,1:18.1,クビ,2-2,41.5,3.7,2,451,0,[地]米田英世,谷岡真喜,,3歳　選抜牝馬,2,ダ,右,1200,曇,良,11:10,2021年1月18日,大井,16,1,68万円未満(別定)
11,2,2,フォルベア,2018101650,牝,3,54,張田昂,1:18.4,1.1/2,1-1,41.8,34.1,10,450,+4,[地]市村誠,八嶋長久,,3歳　選抜牝馬,2,ダ,右,1200,曇,良,11:10,2021年1月18日,大井,16,1,68万円未満(別定)
12,6,9,ライジェルラブリー,2018101269,牝,3,54,柴田勇真,1:19.5,5,10-11,42.0,69.2,11,423,-6,[地]小野寺晋,内海雅之,,3歳　選抜牝馬,2,ダ,右,1200,曇,良,11:10,2021年1月18日,大井,16,1,68万円未満(別定)
13,7,12,マルカンデイジー,2018102141,牝,3,54,有年淳,1:19.9,2,14-14,41.5,200.2,13,452,+1,[地]佐々木洋,斉藤勘介,,3歳　選抜牝馬,2,ダ,右,1200,曇,良,11:10,2021年1月18日,大井,16,1,68万円未満(別定)
14,4,5,エスプリジャスミン,2018100083,牝,3,54,福原杏,1:20.0,1/2,5-5,43.0,225.9,14,444,+5,[地]澤佳宏,依田泰雄,,3歳　選抜牝馬,2,ダ,右,1200,曇,良,11:10,2021年1月18日,大井,16,1,68万円未満(別定)
1,5,8,ビクトリーカノン,2018100321,牡,3,56,藤田凌,1:16.0,,1-1,38.7,58.3,12,483,-4,[地]福田真広,中地賢次郎,220.0,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
2,7,11,カズノジャンボ,2018102088,牡,3,56,和田譲治,1:16.6,3,3-3,39.1,5.8,2,519,-5,[地]納谷和玖,鈴木可一,88.0,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
3,4,5,バルバトス,2018106657,牡,3,56,川島正太,1:17.1,2.1/2,6-6,39.3,13.9,4,511,+5,[地]辻野豊,田頭勇貴,55.0,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
4,3,4,モンサンカドリーユ,2018100372,牡,3,56,藤本現暉,1:17.2,1/2,4-4,39.7,44.9,8,455,-2,[地]宗形竹見,山下新一,33.0,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
5,5,7,ブラントン,2018100061,牡,3,56,笹川翼,1:17.4,1.1/4,10-9,39.4,1.6,1,461,-8,[地]森下淳平,鈴木雅俊,22.0,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
6,1,1,ゲパルド,2018106564,牡,3,56,達城龍次,1:17.5,クビ,9-7,39.6,7.1,3,450,-11,[地]吉井竜一,玉腰勇吉,,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
7,2,2,デンショウロイヤル,2018106859,牡,3,56,遠藤健太,1:17.8,1.1/2,14-13,39.1,18.6,5,480,-1,[地]遠藤茂,田代正博,,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
8,4,6,トノカンショウ,2018106725,牡,3,56,吉井章,1:17.8,クビ,13-14,39.3,51.4,9,500,+4,[地]宮浦正行,（株）ピーケア,,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
9,7,12,マウンテンスワロー,2018106465,セ,3,54,篠谷葵,1:18.1,1.1/2,2-2,40.7,89.1,13,453,+9,[地]朝倉実,蛭川年明,,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
10,8,14,フォルギンジ,2018103572,牡,3,56,服部茂史,1:18.2,1/2,5-5,40.6,27.5,7,434,-7,[地]宮浦正行,八嶋長久,,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
11,6,9,ネオイレブン,2018106741,セ,3,55,仲原大生,1:18.4,1.1/4,11-11,40.2,166.0,14,462,+1,[地]米田英世,西田俊二,,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
12,8,13,ブラウンフェラン,2018106034,牡,3,56,張田昂,1:18.5,1/2,7-8,40.6,24.6,6,471,-4,[地]阪本一栄,小島學,,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
13,3,3,クニノキセキ,2018103235,牡,3,56,今野忠成,1:19.0,2.1/2,12-12,40.7,52.6,11,482,-11,[地]渡辺和雄,国田正忠,,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
14,6,10,ローリングソバット,2018103013,牡,3,56,柴田勇真,1:19.1,1/2,8-10,41.2,52.1,10,478,+12,[地]堀千亜樹,（株）Ｔ．Ｕ．Ｋ．,,3歳　40万円,3,ダ,右,1200,曇,良,11:40,2021年1月18日,大井,16,1,40万円未満(別定)
1,8,10,ジャニスバローズ,2018103761,牝,3,54,笹川翼,1:14.5,,1-1,37.5,1.3,1,458,0,[地]森下淳平,猪熊広次,280.0,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
2,1,1,タワーズアドリーム,2018102507,牡,3,56,吉原寛人,1:15.7,6,8-7,37.7,7.7,3,483,0,[地]澤佳宏,（株）高野産業,112.0,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
3,4,4,デイムコマンダー,2018101014,牝,3,54,本田正重,1:16.2,2.1/2,3-3,38.9,5.5,2,473,0,[地]森下淳平,（株）オリオンファ,70.0,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
4,2,2,ベジタブルストア,2018109049,セ,3,56,藤本現暉,1:16.3,1/2,4-4,38.9,12.2,4,457,0,[地]庄子昭彦,酒井孝敏,42.0,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
5,7,8,ラウンドブーケ,2018100085,牝,3,54,高野誠毅,1:17.7,7,7-7,39.9,44.8,7,462,0,[地]藤村和生,宮本昌彦,28.0,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
6,3,3,グリントフラッター,2018105980,牡,3,56,福原杏,1:17.9,1.1/4,9-9,39.6,32.4,6,474,0,[地]澤佳宏,天堀忠博,,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
7,7,7,エコロサンダー,2018103526,牡,3,56,今野忠成,1:18.5,3,5-5,41.0,24.0,5,489,0,[地]立花伸,原村正紀,,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
