arrival_orders,box_numbers,horse_numbers,horse_names,horse_ids,horse_sexes,horse_ages,jockey_weights,jockey_names,goal_times,goal_margins,order_transitions,half_times,odds,popularities,horse_weights,horse_weight_diffs,trainer_names,horse_owners,earn_prizes,name,race_number,course_type,course_direction,course_length,weather,course_condition,race_start_time,held_date,held_place,held_number,held_date_number,explanation
3,6,9,ツキニカリ,2017105274,牡,4,56,森泰斗,1:30.1,1.1/2,10-7-6,38.8,1.9,1,521,+6,[地]佐野謙二,杉浦和也,25.0,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
4,3,3,シーホース,2015105730,牝,6,54,千田洋,1:30.3,1.1/4,3-2-2,39.5,10.7,4,441,-7,[地]村上頼章,山地真吾,15.0,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
5,6,10,ミラキュラスシティ,2017101529,牝,4,54,吉井章,1:30.4,3/4,13-8-8,38.9,25.9,6,497,+1,[地]高橋清顕,今中俊平,10.0,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
6,5,8,ケンシャロン,2017102413,牡,4,56,有年淳,1:31.2,4,4-5-5,40.1,7.3,3,505,+4,[地]鈴木啓之,中西健,,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
7,8,14,ゴールデンルース,2017109052,牡,4,56,中村尚平,1:31.2,ハナ,10-6-9,39.9,42.5,7,470,+2,[地]村上頼章,横井快太,,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
8,1,1,セイヴェスパー,2017103145,牝,4,53,仲原大生,1:31.4,3/4,2-4-4,40.3,117.0,12,444,-12,[地]米田英世,金田成基,,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
9,8,13,デア,2017100955,牝,4,54,張田昂,1:31.6,1,14-13-10,39.7,158.3,13,428,+6,[地]市村誠,（有）トニーステー,,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
10,5,7,デイジーエール,2017106349,牝,4,54,江里口裕,1:31.7,3/4,7-12-12,39.9,50.9,9,468,+14,[地]鷹見浩,（有）内田ステーブ,,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
11,4,5,ガイノス,2016104010,牡,5,56,石川駿介,1:32.0,1.1/2,5-11-13,40.3,70.8,10,465,+3,[地]秋吉和美,西村健作,,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
12,7,11,バジガクカルミア,2017100335,牝,4,54,的場文男,1:33.1,5,9-14-14,40.9,74.9,11,407,-4,[地]赤嶺本浩,（株）馬事学院,,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
13,2,2,ゴールドシンボル,2015103827,牡,6,56,小林拓未,1:33.1,クビ,1-1-1,42.3,23.7,5,474,-1,[地]渡部則夫,岡井元憲,,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
14,7,12,エンドレスレイン,2017103139,牡,4,56,安藤洋一,1:33.2,1/2,12-10-11,41.6,190.8,14,491,-1,[地]久保杉隆,八嶋長久,,C212　1314,8,ダ,右,1400,晴,良,14:25,2021年1月18日,大井,16,1,(別定)
1,5,10,ブラックバローズ,2015105787,牡,6,56,藤田凌,1:14.8,,3-3,38.7,9.5,4,506,-1,[地]小野寺晋,冨永平太郎,100.0,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
2,6,11,コッヘル,2017103111,牡,4,56,服部茂史,1:14.9,1/2,8-8,38.3,16.7,8,481,-14,[地]渡部則夫,上野直樹,40.0,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
3,2,3,エヌティプリンス,2015105876,牡,6,55,仲原大生,1:15.0,1/2,14-9,38.2,5.3,2,471,+6,[地]柏木一夫,中田留明,25.0,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
4,6,12,タカオワンダー,2013102180,牡,8,56,吉井章,1:15.1,1/2,6-6,38.8,3.2,1,490,+7,[地]松浦裕之,櫻井龍蔵,15.0,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
5,1,2,ジツリキヤシャ,2013102863,牝,8,54,柴田勇真,1:15.1,クビ,4-4,38.8,31.1,12,471,+2,[地]小野寺晋,阿部耕三,10.0,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
6,3,6,ヒナノチョウテン,2016106561,牡,5,56,張田昂,1:15.4,1.3/4,13-10,38.6,30.6,11,456,-2,[地]市村誠,木下隆好,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
7,1,1,ホワイトエース,2017106716,牝,4,54,和田譲治,1:15.4,ハナ,9-7,38.8,18.0,9,465,+10,[地]的場直之,栗山正,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
8,5,9,インパクロ,2017100652,牡,4,56,福原杏,1:15.6,3/4,11-13,38.8,171.2,15,453,-6,[地]月岡健二,（同）ランニング・ク,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
9,3,5,ボーリヴァージュ,2017101094,牝,4,54,有年淳,1:15.8,3/4,2-2,39.8,23.7,10,438,-8,[地]井上弘之,北嶋義三,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
10,7,13,シオラパルク,2015103464,セ,6,56,東原悠善,1:15.9,クビ,9-12,39.2,16.3,7,495,+5,[地]久保田信,豊島愛子,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
11,4,7,ファーストケリー,2017101642,セ,4,56,的場文男,1:16.0,3/4,4-5,39.7,7.4,3,527,-6,[地]上杉昌宏,高橋佑吉,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
12,8,16,ミユキテンカヲトル,2017100651,牡,4,56,森泰斗,1:16.0,クビ,12-15,39.2,10.2,6,487,-7,[地]堀江仁,長井純一,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
13,2,4,マドモアゼルエリー,2017103909,牝,4,54,山中悠希,1:16.1,クビ,1-1,40.2,100.3,14,464,+1,[地]栗田裕光,高岡義光,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
14,8,15,サントマリー,2017103274,牝,4,54,松崎正泰,1:16.2,1/2,16-16,39.0,93.4,13,443,+1,[地]栗田泰昌,酒井孝敏,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
15,7,14,マイネルグローバル,2017101974,牡,4,56,千田洋,1:16.6,2,7-11,40.2,9.6,5,479,-3,[地]村上頼章,金山幸司,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
16,4,8,ピーチライヒ,2017103639,牝,4,52,篠谷葵,1:16.7,クビ,15-14,39.7,182.2,16,411,-9,[地]高岩孝敏,早川稔,,C212　1314,9,ダ,右,1200,晴,良,15:00,2021年1月18日,大井,16,1,(別定)
1,8,13,ブラックアロー,2015106515,牡,6,56,和田譲治,1:27.7,,2-3-2,38.5,1.6,1,499,+5,[地]的場直之,平本敏夫,300.0,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
2,6,9,ダイリュウボーラー,2016100671,牡,5,56,笹川翼,1:28.0,1.3/4,5-5-5,38.6,8.0,4,445,+4,[地]米田英世,大野龍,120.0,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
3,3,3,サンエイムサシ,2016103372,牡,5,56,服部茂史,1:28.1,1/2,1-1-1,39.0,18.1,5,493,-3,[地]三坂盛雄,鈴木雅俊,75.0,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
4,6,8,メダーリアフレイム,2014110076,セ,7,56,藤田凌,1:28.1,ハナ,4-4-4,38.8,5.1,2,462,0,[地]橋本和馬,湯浅健司,45.0,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
5,8,12,オーシャンバローズ,2017104572,牡,4,56,吉原寛人,1:28.1,アタマ,13-13-13,37.7,7.0,3,472,-1,[地]福永敏,猪熊広次,30.0,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
6,1,1,ブラボーエイト,2015100271,牡,6,56,的場文男,1:28.2,クビ,11-9-9,38.3,64.9,9,480,0,[地]堀江仁,田部井孝夫,,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
7,2,2,タイムロード,2015105662,牡,6,56,町田直希,1:28.4,1.1/4,6-7-7,38.7,68.5,11,485,+3,[地]荒井朋弘,鶴田稔,,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
8,4,5,ノーブルサファイア,2014105206,牝,7,54,本田正重,1:28.7,1.1/2,8-12-12,38.6,29.5,6,452,-4,[地]月岡健二,乙訓史樹,,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
9,7,10,セリス,2016104068,牝,5,54,増田充宏,1:28.7,アタマ,10-10-11,38.6,62.4,8,472,0,[地]朝倉実,（有）ノマ,,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
10,7,11,オーシャンブラック,2016103508,牡,5,53,田中洸多,1:28.7,アタマ,12-11-10,38.6,244.6,13,562,-3,[地]荒井朋弘,中川浩一郎,,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
11,5,6,チートコード,2017102289,牡,4,56,達城龍次,1:28.7,ハナ,9-6-6,39.2,89.7,12,513,-2,[地]堀千亜樹,島田明弘,,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
12,4,4,ジョリヴィサージュ,2014103725,牝,7,54,吉井章,1:29.0,1.1/2,7-8-8,39.3,67.0,10,456,+6,[地]納谷和玖,由利一郎,,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
13,5,7,スターリット,2016106251,牝,5,54,張田昂,1:29.0,アタマ,3-2-3,39.8,39.3,7,460,+4,[地]佐宗応和,（有）フジワラ・フ,,雪晴賞競走 ,10,ダ,右,1400,晴,良,15:35,2021年1月18日,大井,16,1,(別定)
1,4,7,エアースピーダー,2016102640,牡,5,56,服部茂史,1:55.1,,6-7-6-5,38.4,8.5,6,522,-8,[地]鈴木啓之,定蛇邦宏,340.0,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
2,5,9,ミスターオーネット,2015101656,牡,6,56,笹川翼,1:55.2,3/4,9-9-9-9,38.3,6.5,2,458,+4,[地]上杉昌宏,醍醐伸之,136.0,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
3,1,1,コウエイスーシェフ,2015101423,セ,6,56,保園翔也,1:55.2,クビ,4-4-4-3,38.7,11.6,8,472,+3,[地]福田真広,酒井孝敏,85.0,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
4,3,5,マブイーグル,2016104144,牡,5,56,的場文男,1:55.3,1/2,12-12-12-12,37.9,31.9,10,481,-2,[地]阪本一栄,生杉学,51.0,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
5,2,2,ウインアーカイヴス,2014104319,牡,7,56,御神本訓,1:55.6,1.1/2,11-11-11-10,38.4,3.7,1,511,+11,[地]辻野豊,由利一郎,34.0,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
6,7,13,グリーンハイパワー,2017101859,牡,4,56,吉原寛人,1:56.0,2,8-8-7-6,39.3,6.9,3,481,+6,[地]澤佳宏,（株）ジーシーエル,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
7,3,4,ライトカラカゼ,2015105923,牡,6,56,森泰斗,1:56.1,クビ,7-6-8-8,39.4,7.8,4,477,+1,[地]久保杉隆,星野壽市,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
8,2,3,ナスノカンザン,2014109087,牡,7,56,川島正太,1:56.2,1/2,1-1-1-1,40.2,25.7,9,506,0,[地]荒山勝徳,恵比寿興業（株）,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
9,8,14,ガッツポーズ,2015103304,牡,6,56,本橋孝太,1:56.3,クビ,5-5-5-6,39.8,8.7,7,490,-2,[地]佐宗応和,菊地博,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
10,8,15,ナムラシンウチ,2014101666,牡,7,56,石崎駿,1:56.3,クビ,13-13-13-13,38.5,105.9,13,500,-4,[地]市村誠,鶴谷厚子,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
11,6,11,ゴールドカラー,2015100820,牡,6,56,藤田凌,1:56.4,1/2,3-3-3-2,40.3,8.5,5,503,+3,[地]鷹見浩,三河辰已,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
12,5,8,ボヘミアラプソディ,2016105723,牡,5,56,張田昂,1:56.4,アタマ,14-14-14-14,38.2,101.5,12,500,+2,[地]市村誠,三岡陽,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
13,6,10,キングイモン,2016102995,牡,5,56,達城龍次,1:56.6,3/4,10-10-10-11,39.5,36.5,11,471,+1,[地]佐宗応和,井門敏雄,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
14,4,6,ミラクルブラッド,2015102983,牝,6,54,瀬川将輝,1:58.7,10,2-2-2-4,42.6,148.6,14,471,+17,[地]鷹見浩,芹澤精一,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
取,7,12,マトラッセ,2015105494,牡,6,56,本田正重,,,,,---,,,,[地]須田和伸,嶋田賢,,ウェルカム2021賞 ,11,ダ,右,1800,晴,良,16:10,2021年1月18日,大井,16,1,(別定)
1,2,2,ニシノレオニダス,2017102112,牡,4,56,笹川翼,1:13.1,,7-6,37.2,2.9,2,517,-1,[地]佐宗応和,西山茂行,300.0,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
2,4,6,ルーシッドドラゴン,2016103980,牡,5,56,山崎誠士,1:13.5,2,4-3,38.0,12.3,5,504,+1,[地]福永敏,窪田康志,120.0,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
3,6,10,ウインヒストリオン,2015102739,牡,6,56,和田譲治,1:13.7,1.1/4,3-4,38.3,2.2,1,498,+19,[地]宗形竹見,（株）ウイン,75.0,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
4,5,7,センターガーネット,2017103795,牝,4,54,張田昂,1:13.7,アタマ,10-8,37.5,32.7,8,456,-11,[地]荒井朋弘,松嶋良治,45.0,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
5,8,13,プレディクト,2015106351,牡,6,56,石崎駿,1:13.8,クビ,8-9,37.8,8.3,3,500,+2,[地]佐宗応和,西田順彦,30.0,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
6,5,8,ニーケススマイル,2017103002,牡,4,56,吉原寛人,1:14.2,2,14-12,37.2,11.6,4,462,0,[地]福田真広,伊藤捷一,,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
7,3,3,グラマラススカイ,2016100066,牝,5,54,藤本現暉,1:14.2,クビ,2-2,39.0,17.8,6,460,-11,[地]的場直之,（有）内田ステーブ,,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
8,1,1,グランエスポワール,2016103750,牡,5,56,町田直希,1:14.3,1/2,1-1,39.2,67.6,9,504,-2,[地]小野寺晋,鶴田稔,,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
9,4,5,デルマヨタロウ,2012101850,牡,9,56,達城龍次,1:14.5,3/4,12-13,38.0,84.8,11,487,+2,[地]須田和伸,欠畑圭一,,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
10,3,4,マジックキー,2013105911,牝,8,54,福原杏,1:14.9,2,11-11,38.5,202.5,14,512,+10,[地]嶋田幸晴,（株）Ｔ．Ｕ．Ｋ．,,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
11,8,14,シザーハンズ,2017103470,牝,4,54,服部茂史,1:15.2,1.1/2,9-10,39.0,69.5,10,466,0,[地]櫻木英喜,村田裕子,,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
12,7,12,フェールアシュバル,2017106105,牝,4,54,保園翔也,1:15.3,1/2,5-5,39.7,99.5,12,485,+4,[地]橋本和馬,（有）日進牧場,,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
13,6,9,ホッコーシェルビー,2016102897,牡,5,56,岡村健司,1:15.4,1/2,6-7,39.6,167.2,13,513,-3,[地]松浦裕之,北幸商事（株）,,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
14,7,11,ファルーク,2017103982,セ,4,56,藤田凌,1:16.4,5,13-14,39.6,26.5,7,458,-4,[地]荒山勝徳,林正道,,春隣賞競走 ,12,ダ,右,1200,晴,良,16:50,2021年1月18日,大井,16,1,(別定)
1,6,6,サンデーライツ,2018101039,牝,3,54,筒井勇介,0:52.3,,1,38.2,9.9,5,443,+4,[地]坂口義幸,谷謙介,36.0,3歳7組,1,ダ,右,800,晴,良,10:30,2021年1月18日,名古屋,22,4,(定量)
2,4,4,ボルドーアラン,2018100364,牡,3,56,加藤誓二,0:52.6,1.1/2,4,37.6,15.5,6,483,0,[地]荒巻透,シグラップ・マネジメ,11.5,3歳7組,1,ダ,右,800,晴,良,10:30,2021年1月18日,名古屋,22,4,(定量)
3,7,7,クーネオ,2018100422,牝,3,52,木之前葵,0:52.6,ハナ,2,38.3,6.1,3,430,-6,[地]荒巻透,木村良明,6.5,3歳7組,1,ダ,右,800,晴,良,10:30,2021年1月18日,名古屋,22,4,(定量)
4,8,8,シングンジェット,2018100596,牡,3,56,横井将人,0:52.6,クビ,5,37.6,7.9,4,476,0,[地]倉地学,伊坂重憲,4.3,3歳7組,1,ダ,右,800,晴,良,10:30,2021年1月18日,名古屋,22,4,(定量)
5,3,3,エイシンヴィクター,2018105968,牡,3,56,大畑雅章,0:52.7,3/4,3,38.3,4.0,2,478,+2,[地]今津博之,平井克彦,2.9,3歳7組,1,ダ,右,800,晴,良,10:30,2021年1月18日,名古屋,22,4,(定量)
6,5,5,キヒン,2018100010,牝,3,54,藤原良一,0:53.3,3,6,38.6,39.0,7,434,-4,[地]荒巻透,和田博美,,3歳7組,1,ダ,右,800,晴,良,10:30,2021年1月18日,名古屋,22,4,(定量)
7,2,2,ゴールドリカ,2018100135,牝,3,51,細川智史,0:53.7,2,7,38.4,134.9,8,450,-8,[地]藤ヶ崎一,永山和夫,,3歳7組,1,ダ,右,800,晴,良,10:30,2021年1月18日,名古屋,22,4,(定量)
8,1,1,カッコイイ,2018102553,牡,3,56,岡部誠,0:55.0,6,8,39.0,1.9,1,493,0,[地]安部幸夫,西村清子,,3歳7組,1,ダ,右,800,晴,良,10:30,2021年1月18日,名古屋,22,4,(定量)
1,7,7,スマイルサクラ,2017101964,牝,4,52,木之前葵,1:32.8,,1-1-1,41.7,2.3,1,481,+2,[地]榎屋充,蟹江知彦,30.0,C7組,2,ダ,右,1400,晴,良,11:00,2021年1月18日,名古屋,22,4,(定量)
2,1,1,ディストワルビー,2015102652,牝,6,54,丸山真一,1:33.0,1,3-2-3,41.5,17.1,5,434,+5,[地]竹下太,辻祐二,9.6,C7組,2,ダ,右,1400,晴,良,11:00,2021年1月18日,名古屋,22,4,(定量)
3,5,5,ストロングヘヴン,2016103739,セ,5,56,今井貴大,1:33.0,ハナ,7-6-2,41.1,2.9,2,529,-2,[地]榎屋充,山本国広,5.4,C7組,2,ダ,右,1400,晴,良,11:00,2021年1月18日,名古屋,22,4,(定量)
4,8,8,シシャモムスメ,2014103721,牝,7,54,柿原翔,1:33.7,3,6-7-5,41.7,18.6,6,446,+4,[地]角田輝也,西川剛,3.6,C7組,2,ダ,右,1400,晴,良,11:00,2021年1月18日,名古屋,22,4,(定量)
5,3,3,スペースファルコン,2015104350,牡,6,56,筒井勇介,1:34.0,1.1/2,4-3-4,42.5,7.1,3,501,-5,[地]坂口義幸,星野隆男,2.4,C7組,2,ダ,右,1400,晴,良,11:00,2021年1月18日,名古屋,22,4,(定量)
6,6,6,アーバン,2015101470,牡,6,56,加藤利征,1:34.3,1.1/2,9-9-7,41.5,139.9,9,480,+18,[地]栗田和昌,（同）ＪＰＮ技研,,C7組,2,ダ,右,1400,晴,良,11:00,2021年1月18日,名古屋,22,4,(定量)
7,4,4,ウォータージョイ,2017105800,牡,4,56,友森翔太,1:34.4,1/2,8-8-9,41.6,21.9,7,480,-9,[地]塚田隆男,山岡良一,,C7組,2,ダ,右,1400,晴,良,11:00,2021年1月18日,名古屋,22,4,(定量)
8,2,2,スノープロー,2017101933,牝,4,54,水野翔,1:34.6,1,5-5-6,42.9,26.8,8,475,-3,[地]坂口義幸,小山英隆,,C7組,2,ダ,右,1400,晴,良,11:00,2021年1月18日,名古屋,22,4,(定量)
9,8,9,ショウリオウ,2017104255,牡,4,54,宮下瞳,1:37.5,大,2-4-8,46.0,7.6,4,470,+1,[地]植松則幸,（株）ファーストビ,,C7組,2,ダ,右,1400,晴,良,11:00,2021年1月18日,名古屋,22,4,(定量)
1,7,8,マルブツハーモニー,2017105903,牝,4,52,宮下瞳,1:30.9,,1-1-1,39.4,25.3,6,510,+4,[地]瀬戸口悟,大澤利久,30.0,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
2,7,7,アップビリオン,2017104602,牡,4,56,村上弘樹,1:32.0,5,8-7-3,38.4,2.2,1,488,0,[地]倉地学,増田兼良,9.6,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
3,6,6,レヴィオーサ,2017105235,牡,4,56,大畑雅章,1:32.2,1.1/2,2-2-2,40.2,2.7,2,481,-5,[地]角田輝也,佐々木主浩,5.4,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
4,8,10,トレゾア,2017102797,牡,4,56,加藤聡一,1:32.5,1.1/2,4-4-5,39.5,9.8,4,472,0,[地]角田輝也,永田和彦,3.6,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
5,3,3,ペイシャバレー,2017105755,牝,4,54,水野翔,1:33.0,2.1/2,6-5-4,40.0,6.6,3,451,-7,[地]坂口義幸,谷謙介,2.4,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
6,1,1,ミスターサンライズ,2017103950,牡,4,56,岡部誠,1:33.3,1.1/2,5-6-6,40.2,11.0,5,464,+4,[地]角田輝也,古賀和夫,,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
7,8,9,ホウオウスティング,2016101266,牡,5,56,戸部尚実,1:33.8,2.1/2,9-9-10,39.9,93.0,8,467,+7,[地]植松則幸,（株）ファーストビ,,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
8,2,2,タニマサキング,2014100282,セ,7,56,藤原良一,1:34.0,1,7-8-8,40.3,183.8,10,411,+4,[地]櫻井今朝,谷正之,,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
9,5,5,ステイサム,2016102277,牡,5,53,細川智史,1:34.3,1.1/2,10-10-9,40.1,32.3,7,454,0,[地]植松則幸,（株）ファーストビ,,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
10,4,4,ストロングバング,2017102302,牡,4,56,山田祥雄,1:34.8,2.1/2,3-3-7,41.9,137.6,9,473,-6,[地]竹下直人,森哲,,C6組,3,ダ,右,1400,晴,良,11:30,2021年1月18日,名古屋,22,4,(定量)
1,2,2,フチサンメルチャン,2017100922,牡,4,56,戸部尚実,1:31.0,,1-1-1,40.3,1.7,1,479,+6,[地]角田輝也,中西功,30.0,C5組,4,ダ,右,1400,晴,良,12:00,2021年1月18日,名古屋,22,4,(定量)
2,3,3,ルーレットエルフ,2017100905,牡,4,56,今井貴大,1:31.4,2,2-2-2,40.6,3.9,3,500,-2,[地]竹下直人,（有）槇本牧場,9.6,C5組,4,ダ,右,1400,晴,良,12:00,2021年1月18日,名古屋,22,4,(定量)
3,8,9,ケンシ,2017101962,牡,4,56,岡部誠,1:32.6,6,6-6-3,40.5,3.8,2,481,-9,[地]安部幸夫,玉田博志,5.4,C5組,4,ダ,右,1400,晴,良,12:00,2021年1月18日,名古屋,22,4,(定量)
4,7,7,ロンギングファロー,2015104489,セ,6,53,細川智史,1:33.5,4,10-10-9,39.2,193.0,10,489,+3,[地]井上正,（同）ＪＰＮ技研,3.6,C5組,4,ダ,右,1400,晴,良,12:00,2021年1月18日,名古屋,22,4,(定量)
5,7,8,コマジオウ,2017100646,牝,4,54,山田祥雄,1:34.1,3,5-5-6,42.5,17.3,5,489,+1,[地]藤ヶ崎一,仲尾正人,2.4,C5組,4,ダ,右,1400,晴,良,12:00,2021年1月18日,名古屋,22,4,(定量)
6,5,5,チケットトゥライド,2014102473,牡,7,56,加藤聡一,1:34.7,3,8-8-7,42.2,117.8,8,487,+2,[地]原口次夫,松岡研司,,C5組,4,ダ,右,1400,晴,良,12:00,2021年1月18日,名古屋,22,4,(定量)
7,6,6,スターオブザサウス,2017104723,牡,4,56,藤原良一,1:35.2,2.1/2,7-7-8,42.7,147.9,9,496,-4,[地]井上正,（同）ＪＰＮ技研,,C5組,4,ダ,右,1400,晴,良,12:00,2021年1月18日,名古屋,22,4,(定量)
8,4,4,タマモキラメキ,2016105564,牝,5,54,村上弘樹,1:35.3,クビ,4-4-5,44.0,13.7,4,474,+3,[地]角田輝也,永野雄介,,C5組,4,ダ,右,1400,晴,良,12:00,2021年1月18日,名古屋,22,4,(定量)
9,1,1,ドゥクス,2016101519,牝,5,52,木之前葵,1:35.4,1/2,3-3-4,44.2,66.2,6,486,+3,[地]荒巻透,シグラップ・マネジメ,,C5組,4,ダ,右,1400,晴,良,12:00,2021年1月18日,名古屋,22,4,(定量)
